"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtivuse lõpp";"Kehtiv";"Tegevusala";"Lisainfo"
"KTO025513";"OÜ Disco Fantastico";"17311299";"24.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025539";"OÜ Salernita";"17477108";"23.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025538";"Terra Hospitality OÜ";"17458200";"23.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025537";"Suzani OÜ";"17467831";"23.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025535";"Vin Vin LeBar OÜ";"17488974";"22.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025536";"DI Partners OÜ";"14146210";"22.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025534";"Panas invest OÜ";"16346746";"21.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025533";"Studio Gallery OÜ";"16831393";"21.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025531";"Bottengarn OÜ";"17448302";"20.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025532";"Zero Tapa OÜ";"17388014";"20.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025530";"Mazagan OÜ";"16697150";"19.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025529";"OÜ KSR SAFFER";"17453912";"18.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025527";"AlSkoFest OÜ";"17468983";"17.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025524";"Aegviidu Konnake OÜ";"17181661";"17.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025525";"Cool Events OÜ";"17479509";"17.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025526";"Resto Italy OÜ";"16883036";"17.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025523";"Pann&Tuli OÜ";"17480903";"15.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025522";"Osaühing Eivera";"11469786";"15.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025521";"Pannjärve Tervisespordikeskus Sihtasutus";"90010261";"14.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025520";"SushiHouse OÜ";"16554315";"14.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025519";"OÜ Varastatudpäike";"17239892";"13.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025518";"MTÜ Meelehea";"80669183";"12.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025515";"The Latin Corner OÜ";"16956389";"10.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025516";"Väike Itaalia OÜ";"17472571";"10.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025517";"Royal paigaldus OÜ";"16256983";"10.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025514";"Ruug OÜ";"12570820";"09.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025509";"Pärnumaa Kutsehariduskeskus";"70006369";"08.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025510";"OÜ Biitmii";"11430666";"08.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025512";"OÜ Metsajõe puhkemaja";"11464553";"08.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025508";"OÜ Pärli Pizza";"17326094";"07.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025507";"Rim Projekt OÜ";"14506157";"07.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025506";"Mereamps OÜ";"17400778";"06.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025505";"Melu baaris OÜ";"17460585";"06.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025504";"VolgaEhitus OÜ";"16551452";"03.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025503";"KARROKA LOGISTIK OÜ";"12030392";"01.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025502";"Ehitushall OÜ";"16866635";"01.04.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025501";"Carneoli OÜ";"14130137";"31.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025500";"Boa de Oro OÜ";"14832750";"27.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025499";"Cateralicious OÜ";"16783240";"25.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025498";"Kärrdal OÜ";"17297458";"23.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025497";"Belcraft OÜ";"17336224";"21.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025496";"SkillPulse OÜ";"14457499";"21.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025495";"Patsikakk OÜ";"17384714";"20.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025494";"SANSER OÜ";"17375856";"19.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025491";"Geri & Freki MCC Pärnu MTÜ";"80630650";"16.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025479";"Neljakesi OÜ";"17394718";"16.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025493";"Malmipann OÜ";"17445671";"16.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025492";"Smashbite OÜ";"17099451";"16.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025467";"Froyo OÜ";"17088341";"16.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025490";"Averi OÜ";"12601199";"12.03.2026";"31.10.2026";"Jah";"Toitlustamine";""
"KTO025489";"La Munch OÜ";"17375879";"11.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025487";"VARNELO VERUM OÜ";"17400459";"11.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025488";"OÜ CafeOk";"16795013";"11.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025486";"Saku Pärl OÜ";"17396048";"09.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025464";"Malmeks OÜ";"14103330";"07.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025485";"Viqueria OÜ";"17293957";"07.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025484";"Sugarglow OÜ";"16221772";"06.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025482";"Aftersky OÜ";"17424496";"05.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025483";"OÜ Magusatuba";"12434293";"05.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025481";"Meathub OÜ";"17412862";"02.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025480";"Virvester OÜ";"17390525";"02.03.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025478";"RJ BAR OÜ";"17396976";"26.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025477";"Wassupp Resto OÜ";"17389775";"23.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025476";"Milana Stuudio OÜ";"17172538";"22.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025475";"O-SUSHI GROUP OÜ";"12456018";"22.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025474";"MTÜ KAI Kunstikeskus";"80558791";"21.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025473";"Tuhk OÜ";"17407473";"19.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025472";"Teeme süüa OÜ";"17168146";"17.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025471";"Summercity OÜ";"14127326";"16.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025470";"Asian Aroma OÜ";"14071831";"16.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025468";"PORGANDIPOMM OÜ";"14959539";"16.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025469";"Teamfun OÜ";"12485468";"16.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025466";"NAPS Baar OÜ";"17427339";"14.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025465";"Swipe To Dates OÜ";"14964167";"10.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025463";"OÜ Suveterassipeod";"16292855";"10.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025461";"Inna Kovalchuk";"17031001";"06.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025460";"Osaühing SMARTSON";"10647791";"05.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025458";"Ahvileib Bakery OÜ";"17377097";"04.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025457";"Tautsi Pizza Võru OÜ";"17353041";"04.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025459";"LalBabu OÜ";"17385435";"04.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025456";"Suvida Foods OÜ";"16787284";"03.02.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025455";"BL Resto & Bar OÜ";"17413700";"26.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025454";"MTÜ PUNKT Theater";"80648117";"22.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025453";"BURGLY OÜ";"17385317";"22.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025452";"Kohvik READ OÜ";"17364462";"21.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025450";"Cuatro Fantasticos OÜ";"17303271";"16.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025448";"Estlux Trade OÜ";"14576956";"16.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025449";"MalMarAsia OÜ";"17159393";"16.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025446";"LaNostra OÜ";"17398662";"13.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025445";"DunkriFood OÜ";"17405161";"09.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025444";"Honest Restaurant OÜ";"17286087";"07.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025443";"SHAURMAX OÜ";"16929548";"07.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025442";"Kifka UÜ";"16805616";"02.01.2026";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025441";"Vale Aadress Usaldusühing";"17264306";"29.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025440";"someoneelse OÜ";"16765710";"23.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025439";"RAYAN OÜ";"16639744";"22.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025438";"PeakSound OÜ";"17113665";"11.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025436";"Palu Group OÜ";"16610083";"10.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025437";"Tahe teenus OÜ";"17379788";"10.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025434";"Ekspeditsioon OÜ";"14878002";"09.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025435";"Shah Ray OÜ";"17357752";"09.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025433";"Kohvimeistrid OÜ";"17211391";"05.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025430";"OÜ Särav Üks";"16742844";"03.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025428";"Jõulukohvik OÜ";"17374957";"02.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025429";"M33 Management OÜ";"17239509";"02.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025426";"Sevfreya OÜ";"17379558";"01.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025427";"PoliVento OÜ";"17282592";"01.12.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025425";"Ääremaa Pagar OÜ";"17074155";"28.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025424";"JL Toitlustus OÜ";"17372792";"28.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025423";"Väike Mahedik OÜ";"14232010";"28.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025419";"Kõrvemaa Keskus OÜ";"17339151";"27.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025421";"MTÜ Drink & Draw";"80574488";"27.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025420";"DunkerHouse OÜ";"17373047";"27.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025418";"Pronta OÜ";"17224241";"27.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025422";"Päikesetasku OÜ";"17158840";"27.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025417";"SHARYN OÜ";"17332953";"25.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025416";"Rummikoogid OÜ";"17218565";"18.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025401";"YH Majutus OÜ";"17158917";"15.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025415";"Familia&co OÜ";"17287342";"14.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025414";"OÜ Anni Kohvikud";"17308676";"13.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025413";"OÜ Triumvirate";"17366998";"12.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025412";"Pruulikoda Kompressor OÜ";"16603373";"11.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025410";"Türgi Maitsed OÜ";"17085319";"06.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025411";"SushiHai OÜ";"17328420";"06.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025408";"Weis Resto OÜ";"16603389";"05.11.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025407";"Baltevo OÜ";"14873111";"31.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025406";"Himgiri OÜ";"17306499";"29.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025405";"OÜ Isevärki";"12829152";"28.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025403";"Sokku Sahver OÜ";"17327449";"27.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025404";"Sushi7 OÜ";"17349310";"27.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025402";"Audiobaar OÜ";"17348687";"26.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025400";"ALS OÜ";"16452968";"22.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025399";"Paldiski PuB OÜ";"17339091";"17.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025398";"Fieston OÜ";"17068982";"15.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025397";"Veinibaar OÜ";"17347647";"14.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025396";"Hevilihas OÜ";"16949232";"09.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025394";"Miniresto OÜ";"17216000";"08.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025395";"Forteist OÜ";"16158750";"08.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025393";"AS4FOOD OÜ";"17329425";"08.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025390";"Õlleresto OÜ";"17212723";"07.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025392";"RESTORAN Sadama 4 OÜ";"16618110";"07.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025391";"Davydov Catering OÜ";"17337028";"07.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025389";"AS Tallinn Airport GH";"11206785";"01.10.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025388";"Roofood OÜ";"17222992";"30.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025387";"Loliisu OÜ";"16958136";"27.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025386";"MARVEL STUDIO OÜ";"16576050";"24.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025385";"SpiritLight OÜ";"16802888";"23.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025384";"Smartplate Food OÜ";"17306631";"22.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025383";"K-Relevant OÜ";"17318545";"19.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025382";"Peosaal OÜ";"14210250";"17.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025381";"AGROSS TEENUSED OÜ";"17243408";"16.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025355";"BOHEEMLANE OÜ";"17304610";"15.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025380";"Mõisavärava OÜ";"16570202";"15.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025379";"OÜ Viskeuss";"16620035";"15.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025378";"BluntCuts OÜ";"16586735";"14.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025377";"MoSpa OÜ";"16773336";"12.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025376";"Kiseljus Buffet OÜ";"17313909";"11.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025375";"Tangid OÜ";"16735407";"11.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025373";"Jaswal OÜ";"17098517";"10.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025374";"Lääneranna Kultuuri- ja Noortekeskus";"77001961";"10.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025369";"OÜ AUVÄRAV";"17136821";"09.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025371";"Hiiu Käbi OÜ";"17298328";"09.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025370";"AgriTrade Solutions OÜ";"16953185";"09.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025372";"CaucasusBar OÜ";"17166437";"09.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025368";"OÜ Eclano";"17297553";"08.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025367";"Viacheslav Prokopenko";"17239900";"03.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025365";"EXELERA OÜ";"17307317";"02.09.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025364";"Pirts OÜ";"16051531";"31.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025363";"Linnapiiril OÜ";"17283947";"29.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025362";"Saare Grill OÜ";"17307926";"25.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025360";"PÕHJA KOHT OÜ";"16580152";"21.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025359";"Otsa Elamustalu OÜ";"17205947";"21.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025361";"Classic Toys OÜ";"16771337";"21.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025357";"Rahvamees OÜ";"16122679";"20.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025358";"Truu Invest OÜ";"14403188";"20.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025356";"Toitla OÜ";"12860707";"20.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025353";"Fare Food OÜ";"17295749";"12.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025354";"Harasape Masmapli OÜ";"17253389";"12.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025352";"Fenix Management OÜ";"16757580";"10.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025350";"Aiataimed OÜ";"17174098";"08.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025351";"Tanni Erilised Maitsed OÜ";"17297783";"08.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025348";"SIHTASUTUS ANIJA MÕISA HALDUS";"90009938";"06.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025349";"Pöial-Liisi Kohvik OÜ";"14978382";"06.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025346";"Marjoram OÜ";"16865073";"05.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025347";"ruddyxl OÜ";"17005763";"05.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025344";"Nomade Resto OÜ";"17226576";"04.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025342";"Marinte OÜ";"16859003";"03.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025343";"REET PEET";"10318690";"03.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025284";"Ports Resto OÜ";"17238065";"01.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025339";"SS Pioneer OÜ";"12021496";"01.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025340";"OÜ Köstri Ait";"17290083";"01.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025338";"F.Resto OÜ";"17259624";"01.08.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025337";"JAHH Pagarid OÜ";"14945885";"31.07.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025215";"Elwa Entertainment Group OÜ";"17146185";"31.07.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025336";"Gaufres belges OÜ";"16383026";"31.07.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025334";"Mister Murka OÜ";"16578304";"30.07.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025332";"OÜ Vivere";"12876714";"26.07.2025";"Tähtajatu";"Jah";"Toitlustamine";""
"KTO025331";"Hubala OÜ";"17238740";"25.07.2025";"Tähtajatu";"Jah";"Toitlustamine";""
